activity,location,distanceHome,showActuation,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,sleep_time,wakeup_time,time_sleeping,timestamp_text,class
In vehicle,Other,0,False,1526317388,-1.0,21070,0,not locked,0,Monday,1083,330,660,19800,2018-05-14 18:03:08+00:00,awake
In vehicle,Other,0,False,1526317478,-1.0,19296,0,not locked,0,Monday,1084,330,660,19800,2018-05-14 18:04:38+00:00,awake
In vehicle,Other,0,False,1526317509,-1.0,19296,0,not locked,0,Monday,1085,330,660,19800,2018-05-14 18:05:09+00:00,awake
In vehicle,Other,0,False,1526317539,-1.0,26700,0,not locked,0,Monday,1085,330,660,19800,2018-05-14 18:05:39+00:00,awake
In vehicle,Other,0,False,1526317599,-1.0,19233,0,not locked,0,Monday,1086,330,660,19800,2018-05-14 18:06:39+00:00,awake
Still,Other,0,False,1526317629,-1.0,19233,0,not locked,0,Monday,1087,330,660,19800,2018-05-14 18:07:09+00:00,awake
In vehicle,Other,0,False,1526317659,-1.0,23356,0,not locked,0,Monday,1087,330,660,19800,2018-05-14 18:07:39+00:00,awake
In vehicle,Other,0,False,1526317689,-1.0,23356,0,not locked,0,Monday,1088,330,660,19800,2018-05-14 18:08:09+00:00,awake
In vehicle,Other,0,False,1526317719,-1.0,26669,0,not locked,0,Monday,1088,330,660,19800,2018-05-14 18:08:39+00:00,awake
In vehicle,Other,0,False,1526317749,-1.0,26669,0,not locked,0,Monday,1089,330,660,19800,2018-05-14 18:09:09+00:00,awake
In vehicle,Other,0,False,1526317779,-1.0,24364,0,not locked,0,Monday,1089,330,660,19800,2018-05-14 18:09:39+00:00,awake
In vehicle,Other,0,False,1526317809,-1.0,24364,0,not locked,0,Monday,1090,330,660,19800,2018-05-14 18:10:09+00:00,awake
In vehicle,Other,0,False,1526317839,-1.0,22602,0,not locked,0,Monday,1090,330,660,19800,2018-05-14 18:10:39+00:00,awake
In vehicle,Other,0,False,1526317870,-1.0,22602,0,not locked,0,Monday,1091,330,660,19800,2018-05-14 18:11:10+00:00,awake
In vehicle,Other,0,False,1526317900,-1.0,22690,0,not locked,0,Monday,1091,330,660,19800,2018-05-14 18:11:40+00:00,awake
In vehicle,Other,0,False,1526317930,-1.0,22690,0,not locked,0,Monday,1092,330,660,19800,2018-05-14 18:12:10+00:00,awake
In vehicle,Other,0,False,1526317960,-1.0,25330,0,not locked,0,Monday,1092,330,660,19800,2018-05-14 18:12:40+00:00,awake
In vehicle,Other,0,False,1526317990,-1.0,25330,0,not locked,0,Monday,1093,330,660,19800,2018-05-14 18:13:10+00:00,awake
In vehicle,Other,0,False,1526318020,-1.0,25504,0,not locked,0,Monday,1093,330,660,19800,2018-05-14 18:13:40+00:00,awake
In vehicle,Other,0,False,1526318050,-1.0,25504,0,not locked,0,Monday,1094,330,660,19800,2018-05-14 18:14:10+00:00,awake
In vehicle,Other,0,False,1526318080,-1.0,21192,0,not locked,0,Monday,1094,330,660,19800,2018-05-14 18:14:40+00:00,awake
Exercise,Other,0,False,1526318140,-1.0,31723,0,not locked,0,Monday,1095,330,660,19800,2018-05-14 18:15:40+00:00,awake
Exercise,Other,0,False,1526318170,-1.0,31723,0,not locked,0,Monday,1096,330,660,19800,2018-05-14 18:16:10+00:00,awake
Exercise,Other,0,False,1526318200,-1.0,29769,0,not locked,0,Monday,1096,330,660,19800,2018-05-14 18:16:40+00:00,awake
Exercise,Other,0,False,1526318230,-1.0,29769,0,not locked,0,Monday,1097,330,660,19800,2018-05-14 18:17:10+00:00,awake
Exercise,Other,0,False,1526318260,-1.0,30726,8,not locked,0,Monday,1097,330,660,19800,2018-05-14 18:17:40+00:00,awake
Exercise,Other,0,False,1526318290,-1.0,30726,0,not locked,0,Monday,1098,330,660,19800,2018-05-14 18:18:10+00:00,awake
Exercise,Other,0,False,1526318321,-1.0,30778,0,locked,0,Monday,1098,330,660,19800,2018-05-14 18:18:41+00:00,awake
Exercise,Other,0,False,1526318351,-1.0,30778,0,locked,0,Monday,1099,330,660,19800,2018-05-14 18:19:11+00:00,awake
Exercise,Other,0,False,1526318411,-1.0,31731,0,locked,0,Monday,1100,330,660,19800,2018-05-14 18:20:11+00:00,awake
Exercise,Other,0,False,1526318441,-1.0,30356,0,locked,0,Monday,1100,330,660,19800,2018-05-14 18:20:41+00:00,awake
Exercise,Other,0,False,1526318480,-1.0,30356,0,locked,0,Monday,1101,330,660,19800,2018-05-14 18:21:20+00:00,awake
