activity,location,distanceHome,showActuation,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,sleep_time,wakeup_time,time_sleeping,timestamp_text,class
Still,House,0,False,1526345129,-1.0,0,0,not locked,0,Monday,105,675,195,57600,2018-05-15 01:45:29+00:00,asleep
Still,House,0,False,1526345159,-1.0,0,0,not locked,0,Monday,105,675,195,57600,2018-05-15 01:45:59+00:00,asleep
Still,House,0,False,1526345189,-1.0,0,0,not locked,0,Monday,106,675,195,57600,2018-05-15 01:46:29+00:00,asleep
Still,House,0,False,1526345219,-1.0,0,0,not locked,0,Monday,106,675,195,57600,2018-05-15 01:46:59+00:00,asleep
Still,House,0,False,1526345309,-1.0,0,0,not locked,0,Monday,108,675,195,57600,2018-05-15 01:48:29+00:00,asleep
Still,House,0,False,1526345339,-1.0,0,0,not locked,0,Monday,108,675,195,57600,2018-05-15 01:48:59+00:00,asleep
Still,House,0,False,1526345400,-1.0,0,0,not locked,0,Monday,110,675,195,57600,2018-05-15 01:50:00+00:00,asleep
Still,House,0,False,1526345430,-1.0,0,0,not locked,0,Monday,110,675,195,57600,2018-05-15 01:50:30+00:00,asleep
Still,House,0,False,1526345520,-1.0,0,0,not locked,0,Monday,112,675,195,57600,2018-05-15 01:52:00+00:00,asleep
Still,House,0,False,1526345550,-1.0,0,0,not locked,0,Monday,112,675,195,57600,2018-05-15 01:52:30+00:00,asleep
Still,House,0,False,1526345731,-1.0,0,0,not locked,0,Monday,115,675,195,57600,2018-05-15 01:55:31+00:00,asleep
Still,House,0,False,1526345761,-1.0,0,0,not locked,0,Monday,116,675,195,57600,2018-05-15 01:56:01+00:00,asleep
Still,House,0,False,1526345791,-1.0,0,0,not locked,0,Monday,116,675,195,57600,2018-05-15 01:56:31+00:00,asleep
Still,House,0,False,1526345821,-1.0,0,0,not locked,0,Monday,117,675,195,57600,2018-05-15 01:57:01+00:00,asleep
Still,House,0,False,1526345881,-1.0,0,0,not locked,0,Monday,118,675,195,57600,2018-05-15 01:58:01+00:00,asleep
Still,House,0,False,1526345941,-1.0,0,0,not locked,0,Monday,119,675,195,57600,2018-05-15 01:59:01+00:00,asleep
Still,House,0,False,1526345971,-1.0,0,0,not locked,0,Monday,119,675,195,57600,2018-05-15 01:59:31+00:00,asleep
Still,House,0,False,1526346001,-1.0,0,0,not locked,0,Monday,120,675,195,57600,2018-05-15 02:00:01+00:00,asleep
Still,House,0,False,1526346062,-1.0,0,0,not locked,0,Monday,121,675,195,57600,2018-05-15 02:01:02+00:00,asleep
Still,House,0,False,1526346092,-1.0,0,0,not locked,0,Monday,121,675,195,57600,2018-05-15 02:01:32+00:00,asleep
Unknown,Other,0,False,1526346207,-1.0,0,0,not locked,0,Monday,123,675,195,57600,2018-05-15 02:03:27+00:00,asleep
Still,House,0,False,1526346515,-1.0,0,0,locked,0,Monday,128,675,195,57600,2018-05-15 02:08:35+00:00,asleep
Still,House,0,False,1526346593,-1.0,0,0,locked,0,Monday,129,675,195,57600,2018-05-15 02:09:53+00:00,asleep
Still,House,0,False,1526346782,-1.0,0,0,locked,0,Monday,133,675,195,57600,2018-05-15 02:13:02+00:00,asleep
Still,House,0,False,1526346885,-1.0,0,0,not locked,0,Monday,134,675,195,57600,2018-05-15 02:14:45+00:00,asleep
Still,House,0,False,1526346965,-1.0,0,0,locked,0,Monday,136,675,195,57600,2018-05-15 02:16:05+00:00,asleep
Still,House,0,False,1526347110,-1.0,0,1,locked,0,Monday,138,675,195,57600,2018-05-15 02:18:30+00:00,asleep
Still,House,0,False,1526347194,-1.0,0,1,locked,0,Monday,139,675,195,57600,2018-05-15 02:19:54+00:00,asleep
Tilting,House,0,False,1526347224,-1.0,0,1,locked,0,Monday,140,675,195,57600,2018-05-15 02:20:24+00:00,asleep
Still,House,0,False,1526347315,-1.0,0,1,not locked,0,Monday,141,675,195,57600,2018-05-15 02:21:55+00:00,asleep
